Url,Website,Clean_Url,Product
https://berghoffworldwide.com/be_nl/keukengerei-accessoires/voorraaddozen/tweedelige-lunchpot-grijs-leo,berghoffworldwide.com,https://berghoffworldwide.com/be_nl/keukengerei-accessoires/voorraaddozen/tweedelige-lunchpot-grijs-leo,Lunchpot
https://berghoffworldwide.com/be_nl/keukengerei-accessoires/voorraaddozen/waterfles-koraal-leo,berghoffworldwide.com,https://berghoffworldwide.com/be_nl/keukengerei-accessoires/voorraaddozen/waterfles-koraal-leo,Waterfles Ellipse 500 ml
https://black-blum.eu/collections/lunch-boxes/products/original-lunch-pot,black-blum.eu,https://black-blum.eu/collections/lunch-boxes/products/original-lunch-pot,Lunchpot
https://eu.josephjoseph.com/products/dot-water-bottle-green,eu.josephjoseph.com,https://eu.josephjoseph.com/products/dot-water-bottle-green,Waterfles Ellipse 500 ml
https://eu.josephjoseph.com/products/nest-lock-leakproof-container-multi-size-set-multicolour,eu.josephjoseph.com,https://eu.josephjoseph.com/products/nest-lock-leakproof-container-multi-size-set-multicolour,Clipbox 1000 ml
https://locklock.nl/keuken/ovenschalen-met-deksel/glazen-ovenschaal-met-deksel-1-6-liter/,locklock.nl,https://locklock.nl/keuken/ovenschalen-met-deksel/glazen-ovenschaal-met-deksel-1-6-liter/,Clipbox 1500 ml glas
https://locklock.nl/vershoudbakjes/classics/vershouddoos-1-0-liter-hpl817/,locklock.nl,https://locklock.nl/vershoudbakjes/classics/vershouddoos-1-0-liter-hpl817/,Clipbox 1000 ml
https://locklock.nl/vershoudbakjes/specials/yoghurtbeker-muesli-beker-to-go-560-ml-310-ml/,locklock.nl,https://locklock.nl/vershoudbakjes/specials/yoghurtbeker-muesli-beker-to-go-560-ml-310-ml/,Lunchpot
https://oxo-good-grips.nl/winkel/oxo-pop-container-2-0-rechthoek-laag-1600/,oxo-good-grips.nl,https://oxo-good-grips.nl/winkel/oxo-pop-container-2-0-rechthoek-laag-1600/,Modula 1500 ml
https://oxo-good-grips.nl/winkel/oxo-prep-go-sandwichbox-1-liter/,oxo-good-grips.nl,https://oxo-good-grips.nl/winkel/oxo-prep-go-sandwichbox-1-liter/,Clipbox 1000 ml
https://shop.dopper.com/nl/waterflessen/dopper-original-tidal-teal,shop.dopper.com,https://shop.dopper.com/nl/waterflessen/dopper-original-tidal-teal,Waterfles Ellipse 500 ml
https://shop.vtwonen.nl/product/brabantia-make-take-lunchbox-medium/955532/,shop.vtwonen.nl,https://shop.vtwonen.nl/product/brabantia-make-take-lunchbox-medium/955532/,TAB midi
https://shop.vtwonen.nl/product/brabantia-make-take-soepbeker-0-6-l/955499/,shop.vtwonen.nl,https://shop.vtwonen.nl/product/brabantia-make-take-soepbeker-0-6-l/955499/,Lunchpot
https://shop.vtwonen.nl/product/brabantia-make-take-waterfles-met-zeef-0-5-l/955473/,shop.vtwonen.nl,https://shop.vtwonen.nl/product/brabantia-make-take-waterfles-met-zeef-0-5-l/955473/,Waterfles Ellipse 500 ml
https://sigg.nl/sigg-kids-collectie/sigg-drinkfles-viva-one-horse-club/4450,sigg.nl,https://sigg.nl/sigg-kids-collectie/sigg-drinkfles-viva-one-horse-club/4450,Campus pop-up
https://sigg.nl/sigg-kids-collectie/sigg-shield-one-space/4443,sigg.nl,https://sigg.nl/sigg-kids-collectie/sigg-shield-one-space/4443,Campus isoleerfles flip-up
https://sigg.nl/sigg-thermoflessen/hotcold-one-glacier-05/1324,sigg.nl,https://sigg.nl/sigg-thermoflessen/hotcold-one-glacier-05/1324,Iso fles 500 ml
https://www.amazon.de/-/nl/dp/B00AM6KHVE/ref=sr_1_5?__mk_nl_NL=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=3I91XG8PZXKZ2&keywords=emsa+optima+1%2C6%C2%A0l&qid=1663313075&sprefix=emsa+optima+1+6+l%2Caps%2C50&sr=8-5,amazon.de,https://www.amazon.de/-/nl/dp/B00AM6KHVE/,Modula 1500 ml
https://www.amazon.de/-/nl/dp/B00J8JR3UE/ref=sr_1_5?keywords=emsa+variabolo+brotdose&qid=1663316571&sprefix=emsa+varia%2Caps%2C57&sr=8-5,amazon.de,https://www.amazon.de/-/nl/dp/B00J8JR3UE/,Campus lunchbox
https://www.amazon.de/-/nl/dp/B019F0771A/ref=sr_1_3?__mk_nl_NL=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1O9GXJUA83LDB&keywords=oxo+smart+seal+glas+1%2C8%C2%A0l&qid=1663313575&sprefix=oxo+smart+seal+glas+1+8+l%2Caps%2C43&sr=8-3,amazon.de,https://www.amazon.de/-/nl/dp/B019F0771A/,Clipbox 1500 ml glas
https://www.amazon.de/-/nl/dp/B01DY7TRI6/ref=sr_1_5?__mk_nl_NL=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=39AONE7J3L8OO&keywords=stor+sandwichbox&qid=1663317647&sprefix=stor+sandwichbox%2Caps%2C57&sr=8-5,amazon.de,https://www.amazon.de/-/nl/dp/B01DY7TRI6/,Campus lunchbox
https://www.amazon.de/-/nl/dp/B01LXND654/ref=sr_1_4?__mk_nl_NL=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=3F36JXVBFV57G&keywords=sistema+water+bottle+475%C2%A0ml&qid=1663317292&sprefix=sistema+water+bottle+475+ml%2Caps%2C59&sr=8-4,amazon.de,https://www.amazon.de/-/nl/dp/B01LXND654/,Waterfles Ellipse 500 ml
https://www.amazon.de/-/nl/dp/B071ZZR96W/ref=sr_1_8?__mk_nl_NL=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=111CVUHFE0UYG&keywords=sistema+lunchbox&qid=1663317124&sprefix=sistema+lunchbox%2Caps%2C71&sr=8-8,amazon.de,https://www.amazon.de/-/nl/dp/B071ZZR96W/,TAB midi
https://www.amazon.de/-/nl/dp/B07D4NFYMZ/ref=sr_1_10?__mk_nl_NL=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=2M6QVR7TVXGTM&keywords=emsa+insulated+bottle+350%C2%A0ml&qid=1663316530&sprefix=emsa+insulated+bottle+350+ml%2Caps%2C50&sr=8-10,amazon.de,https://www.amazon.de/-/nl/dp/B07D4NFYMZ/,Campus isoleerfles flip-up
https://www.amazon.de/-/nl/dp/B07JDGV75V/ref=sr_1_5?__mk_nl_NL=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=2J75RUU5PV9EB&keywords=emsa+trink2go+light+steel+0%2C4%C2%A0l&qid=1663316615&sprefix=emsa+drink2go+light+steel+0.4+l%2Caps%2C54&sr=8-5,amazon.de,https://www.amazon.de/-/nl/dp/B07JDGV75V/,Campus pop-up
https://www.amazon.de/-/nl/dp/B07L8Y6G97/ref=sr_1_13?__mk_nl_NL=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=TY714NIWT53J&keywords=nalgene+trinkflasche+kids+0%2C35%C2%A0l&qid=1663317855&sprefix=nalgene+trinkflasche+kids+0+35+l%2Caps%2C39&sr=8-13,amazon.de,https://www.amazon.de/-/nl/dp/B07L8Y6G97/,Campus pop-up
https://www.amazon.de/-/nl/dp/B07P66PHYX/ref=sr_1_6?__mk_nl_NL=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=3DT1TJ6LOHVSG&keywords=thermos%2Btc%2Bbottle&qid=1663318621&s=kitchen&sprefix=thermos%2Btc%2Bbottle%2Ckitchen%2C57&sr=1-6&th=1,amazon.de,https://www.amazon.de/-/nl/dp/B07P66PHYX/,Iso fles 500 ml
https://www.amazon.de/-/nl/dp/B07P7XWJXW/ref=sr_1_5?__mk_nl_NL=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=stor+lunchbox+kids&qid=1663317506&sr=8-5,amazon.de,https://www.amazon.de/-/nl/dp/B07P7XWJXW/,Campus lunchbox
https://www.amazon.de/-/nl/dp/B07TRVQ6GC/ref=sr_1_3?__mk_nl_NL=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=14IU6TDCGBU16&keywords=contigo+west+loop&qid=1663318746&s=kitchen&sprefix=contigo+westloop%2Ckitchen%2C55&sr=1-3,amazon.de,https://www.amazon.de/-/nl/dp/B07TRVQ6GC/,Iso koffiebeker 375 ml
https://www.amazon.de/-/nl/dp/B084215K4V/ref=sr_1_7?__mk_nl_NL=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1VG0Q2894PRMG&keywords=alfi+city+bottle&qid=1663318275&sprefix=alfi+city+bottle%2Caps%2C55&sr=8-7,amazon.de,https://www.amazon.de/-/nl/dp/B084215K4V/,Iso fles 500 ml
https://www.amazon.de/-/nl/dp/B086YBW1F2/ref=sr_1_3?__mk_nl_NL=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1ZMMFJ32PKU6B&keywords=alfi%2Binsulated%2Bbottle%2B350%C2%A0ml&qid=1663316474&sprefix=alfi%2Binsulated%2Bbottle%2B350%2Bml%2Caps%2C42&sr=8-3&th=1,amazon.de,https://www.amazon.de/-/nl/dp/B086YBW1F2/,Campus isoleerfles flip-up
https://www.amazon.de/-/nl/dp/B0948TKCXB/ref=twister_B0B3GS5Z4D?_encoding=UTF8&psc=1,amazon.de,https://www.amazon.de/-/nl/dp/B0948TKCXB/,Iso fles 500 ml
https://www.amazon.de/dp/B00DPZTB34/ref=sr_1_1_sspa?__mk_nl_NL=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=3H05FU3CE6X03&keywords=alfi+isomug+plus+350%C2%A0ml&qid=1663318235&sprefix=alfi+isomug+plus+350+ml%2Caps%2C38&sr=8-1-spons&psc=1,amazon.de,https://www.amazon.de/dp/B00DPZTB34/,Iso koffiebeker 375 ml
https://www.amazon.de/dp/B07D46Q2RC/ref=sr_1_1_sspa?__mk_nl_NL=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1RXKMOGD55AVI&keywords=emsa+trink2go+tritan+0%2C7%C2%A0l&qid=1663316857&sprefix=emsa+drink2go+tritan+0.7+l%2Caps%2C48&sr=8-1-spons&psc=1,amazon.de,https://www.amazon.de/dp/B07D46Q2RC/,Waterfles Ellipse 500 ml
https://www.amazon.de/dp/B08GM7GK8J/ref=sr_1_4_sspa?__mk_nl_NL=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=YZJFYB3MWO86&keywords=emsa+travel+mug+compact+0%2C3%C2%A0l&qid=1663316658&sprefix=emsa+travel+mug+compact+0+3+l%2Caps%2C58&sr=8-4-spons&psc=1,amazon.de,https://www.amazon.de/dp/B08GM7GK8J/,Iso koffiebeker 375 ml
https://www.amazon.de/dp/B092J6JQHQ/ref=sr_1_1_sspa?__mk_nl_NL=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=16WM320HYWPJ0&keywords=emsa+bludrop+0%2C5%C2%A0l&qid=1663316821&sprefix=emsa+bludrop+0.5+l%2Caps%2C54&sr=8-1-spons&psc=1,amazon.de,https://www.amazon.de/dp/B092J6JQHQ/,Iso fles 500 ml
https://www.amazon.de/Thermos-Isolier-Trinkbecher-Doppelwandiger-auslaufsicher-Polypropylen/dp/B08Q4DNG9R/ref=sr_1_3_sspa?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=guardian%2Bthermos&qid=1611820855&sr=8-3-spons&smid=AYSVGQQ89W56K&spLa=Z,amazon.de,https://www.amazon.de/dp/B08Q4DNG9R/,Iso koffiebeker 375 ml
https://www.bol.com/nl/nl/p/amuse-life-lunchpot-ontbijtbeker-morning-noon-bowl-met-spork-en-rekker-2-compartimenten-450-150-ml-roze/9300000027414012/?Referrer=ADVNLGOO002032-G-141224824474-S-1678095201599-9300000027414012&gclid=Cj0KCQjwvZCZBhCiARIsAPXbajvM8XFR9a0P9MuqxC6BpmqwOuqg64i0tvNquA2JztuOI63d3XV2F34aAjmPEALw_wcB,bol.com,https://www.bol.com/nl/nl/p/amuse-life-lunchpot-ontbijtbeker-morning-noon-bowl-met-spork-en-rekker-2-compartimenten-450-150-ml-roze/9300000027414012/,Lunchpot
https://www.bol.com/nl/nl/p/amuse-lunchbox-medium-blauw/9200000091837594/?bltgh=sLPnUMl5yCdZBeg1V9FGcw.2_23.26.ProductImage,bol.com,https://www.bol.com/nl/nl/p/amuse-lunchbox-medium-blauw/9200000091837594/,TAB midi
https://www.bol.com/nl/nl/p/zoku-kids-flip-gulp-drinkbeker-kunststof-siliconen-465-ml-blauw/9200000114831826/?s2a=#productTitle,bol.com,https://www.bol.com/nl/nl/p/zoku-kids-flip-gulp-drinkbeker-kunststof-siliconen-465-ml-blauw/9200000114831826/,Campus pop-up
https://www.chicmic.de/collections/lunchpot/products/bioloco-plant-lunchpot,chicmic.de,https://www.chicmic.de/collections/lunchpot/products/bioloco-plant-lunchpot,Lunchpot
https://www.chicmic.de/products/bioloco-plant-urban-lunchbox-square,chicmic.de,https://www.chicmic.de/products/bioloco-plant-urban-lunchbox-square,TAB midi
https://www.koziol-shop.de/en/Kitchen/Lunch-TO-GO/BUDDY-0-5-Snackpot-with-insert-and-lid-500ml-oxid.html,koziol-shop.de,https://www.koziol-shop.de/en/Kitchen/Lunch-TO-GO/BUDDY-0-5-Snackpot-with-insert-and-lid-500ml-oxid.html,Lunchpot
https://www.koziol-shop.de/en/Kitchen/Lunch-TO-GO/CANDY-L-Box.html,koziol-shop.de,https://www.koziol-shop.de/en/Kitchen/Lunch-TO-GO/CANDY-L-Box.html,TAB midi
https://www.koziol-shop.de/en/Kitchen/Lunch-TO-GO/OASE-Water-Bottle-425ml.html,koziol-shop.de,https://www.koziol-shop.de/en/Kitchen/Lunch-TO-GO/OASE-Water-Bottle-425ml.html,Waterfles Ellipse 500 ml
https://www.laessig-fashion.de/kinder-brotdose-lunchbox-adventure-bus,laessig-fashion.de,https://www.laessig-fashion.de/kinder-brotdose-lunchbox-adventure-bus,Campus lunchbox
https://www.lurch.de/to-go/isolierbecher/729/lurch-isolier-becher-3600-edelstahl-0-3l-mit-einhandbedienung?number=00240980,lurch.de,https://www.lurch.de/to-go/isolierbecher/729/lurch-isolier-becher-3600-edelstahl-0-3l-mit-einhandbedienung?number=00240980,Iso koffiebeker 375 ml
https://www.lurch.de/to-go/isolierflaschen/741/lurch-isolier-flasche-edelstahl-0-5l?number=00240851,lurch.de,https://www.lurch.de/to-go/isolierflaschen/741/lurch-isolier-flasche-edelstahl-0-5l?number=00240851,Iso fles 500 ml
https://www.lurch.de/to-go/teebereiter/725/lurch-isolier-flasche-tee-edelstahl-0-4l-mit-integriertem-bruehsystem,lurch.de,https://www.lurch.de/to-go/teebereiter/725/lurch-isolier-flasche-tee-edelstahl-0-4l-mit-integriertem-bruehsystem,Iso fles 500 ml
https://www.rotho-shop.com/raeume/kueche/brotdose-memory-kids_1930290956_18249,rotho-shop.com,https://www.rotho-shop.com/raeume/kueche/brotdose-memory-kids_1930290956_18249,Campus lunchbox
https://www.rotho-shop.com/raeume/kueche/foodcenter-rondo-2-85-liter_1930291027_17421,rotho-shop.com,https://www.rotho-shop.com/raeume/kueche/foodcenter-rondo-2-85-liter_1930291027_17421,Modula 3-laags 
https://www.rotho-shop.com/raeume/kueche/premiumdose-loft-10x10x21-cm_1930291019_17908,rotho-shop.com,https://www.rotho-shop.com/raeume/kueche/premiumdose-loft-10x10x21-cm_1930291019_17908,Modula 1500 ml
https://www.rotho-shop.com/raeume/kueche/trinkflasche-memory-kids-0-4-liter_1930290955_17984,rotho-shop.com,https://www.rotho-shop.com/raeume/kueche/trinkflasche-memory-kids-0-4-liter_1930290955_17984,Campus pop-up
https://www.sunware.com/nl-nl/basic-vershouddoos-met-clips-1-1l-transparant-54702709?returnurl=%2fnl-nl%2fsearch%3fq%3d6200689,sunware.com,https://www.sunware.com/nl-nl/basic-vershouddoos-met-clips-1-1l-transparant-54702709,Clipbox 1000 ml
https://www.sunware.com/nl-nl/voedselopbergers-vleeswarendoos-transparant-donkergrijs?returnurl=%2fnl-nl%2fvoedselopbergers%2fvleeswarendozen%2f,sunware.com,https://www.sunware.com/nl-nl/voedselopbergers-vleeswarendoos-transparant-donkergrijs,Modula 3-laags 
https://www.sunware.com/nl-nl/voedselopbergers-voorraadbussen-1-4l-wit,sunware.com,https://www.sunware.com/nl-nl/voedselopbergers-voorraadbussen-1-4l-wit,Modula 1500 ml
